question,answer1,answer2,answer3,answer4,answer5,solution
"Which of the following statements is/are incorrect?
i. In Swiss civil procedure, a very broad concept of res judicata applies. Findings of fact and legal assessments made in a case become binding for all subsequent disputes between the parties.
ii. A marital agreement may be concluded before or after the wedding.
iii. Mortgages and pledges, including the claim to be secured thereby, are rights in rem.",none of the statements,"i, ii, and iii",ii,i and ii,,4
"Please indicate whether the following statements about criminal procedure in Switzerland are correct:
i. After the prosecution investigation, the majority of criminal cases proceed to be heard by a court.
ii. The accused must be represented by a lawyer after the first court hearing: the defence lawyer may be appointed by the prosecutor at this stage.
iii. The prosecution and the police are equally in charge of the investigation, and both have the duty to investigate the incriminatory and exculpatory evidence against the accused with equal care.
iv. In every criminal case which proceeds to court, there are always three parties: namely, the prosecutor, the accused and the private claimant.
v. The private claimant can request a specific sentence for the accused and can challenge the prosecution’s decision to drop any charges.",i and ii,ii and v,i,"i, iii, iv, and v",,2
"Which of the following statements is/are correct?
i. In Swiss civil proceedings, an arbitral tribunal can generally make a binding decision on its own jurisdiction without any possibility for scrutiny by a state court. 
ii. Appeals against decisions of cantonal administrative courts cannot be brought directly to the Federal Supreme Court. They must, in a first step, always be filed to the Federal Administrative Court. 
iii. In Swiss criminal proceedings, the accused person never has to be represented by defence counsel if he/she doesn’t want to.
iv. Any justification of human rights must eventually refer to spiritual sources of legitimacy.",ii and iv,none of the statements,"i, ii, and iii",iv,,2
"Thomas is a Swiss citizen who lives in Zurich. He is an IT specialist and derives net income from employment of CHF 100'000 per year. Further, he owns a cottage in Tuscany (Italy) which he occasionally rents to colleagues. In 2016, he realised rental net income from the cottage of CHF 20'000. Finally, he owns shares in Swiss companies with a net value of CHF 400'000. Which of the following statements with regard to the taxation of Thomas are correct:
i. As a Swiss tax resident, Thomas is subject to the federal income tax, to the cantonal income tax and to the municipal income tax.
ii. On the federal level, the federal income tax is levied on the income derived from employment (CHF 100'000), the income derived by Thomas from the cottage in Tuscany (CHF 20'000) is exempted.
iii. As a Swiss tax resident, Thomas is subject to the federal income tax but due to the fact that he already pays federal income tax he is exempted from the cantonal and municipal income taxes.
iv. On the cantonal level, Thomas is subject to the net wealth tax. The applicable net wealth tax rate of the Canton of Zurich amounts to 2.3 ‰ whereas the applicable net wealth tax rate of the Canton of Zug would amount to 1.0 ‰. Thomas is of the opinion that these different tax rates infringe the Federal Constitution.",i and ii,none of the statements,"i, ii, iii, and iv",ii and iii,,1
"Based on the following context, please select all statements that do not apply.
Context: Eric is a Dutch citizen who accepted a job offer in the city of Zürich and just moved to Switzerland with his wife Clara and two children. He has rented a little house in the countryside close to the city of Baden (canton of Aargau, 35 minutes by bus and train from Zürich). Eric and Clara still own an apartment in Amsterdam that they rented out.
i. The income derived from the apartment in Amsterdam is not taxable in Switzerland.
ii. Eric has to pay a federal income tax, a cantonal income tax and a communal income tax. Such a triple income taxation infringes the constitutional prohibition of inter-cantonal double taxation.",none of the statements,i,i and ii,ii,,4
"Based on the following context, please select all statements that do not apply.
Context: Eric is a Dutch citizen who accepted a job offer in Zürich. He will take up his new position in Zürich in January 2020. Before moving to Switzerland, he would like to learn more about the Swiss tax system. In particular, he has not yet decided whether he wants to rent an apartment in Zürich or outside of Zürich, maybe even in another canton.
i. Eric knows that the VAT rate on the federal level amounts to 7.7%, which is very low compared to other countries. However, since the majority of the cantons additionally levy a cantonal VAT, the total VAT rate (federal and cantonal level) does not deviate much from other countries.
ii. In Switzerland, regardless of the canton, Eric will be subject to a cantonal net wealth tax. On the federal level, however, no net wealth tax is levied.
iii. In Zürich, Eric would be subject to an income tax rate of 21.6% (federal, cantonal and communal income taxes). However, if he decides to move to another canton, his income tax rate could be much lower.","i, ii, and iii",iii,i,i and ii,,3
"Company A with registered office in Switzerland and Company B with registered office in Hong Kong SAR establish Company C with registered office in Singapore. Company C together with Company D with registered office in Sichuan/PRC establish Company E with registered office in Beijing/PRC. Which one of the following definition is the only one that could apply to Company E?
i. Wholly Foreign-owned Enterprise
ii. Representative Office
iii. Contractual Co-operative Joint Venture
iv. Equity Joint Venture",iv,i,ii and iii,ii and iv,,1
"Which of the following statements is/are correct?
i. With the Helvetic Republic the pre-revolutionary confederate structure was restored.
ii. What should be protected by means of human rights depends on, amongst other things, a background theory of human goods. 
iii. Animals have no legal capacity like a person nor are they legally treated as objects; they rather form a third category of legal entities in property law.
iv. The international community formally recognized the neutrality of Switzerland with the Peace of Westphalia in 1648.
v. An attempt to justify human rights without recourse to religion is called “methodologically secular”.","i, iii, iv, and v",i and iii,ii and v,"ii, iv, and v",,3
"Which of the following statements is/are correct?
i. The possibility of an appeal to an administrative authority is sufficient to meet the requirements of the guarantee of access to courts as long as this authority reviews questions of administrative discretion.
ii. The public prosecutor decides whether detention on remand and security detention are permitted.
iii. In 1874 the Federal legislative power was authorised to legislate on obligations-, commercial- and exchange law, civil capacity, copyright law, debt enforcement and bankruptcy law, according to Article 64 of the Federal constitution.
iv. Swiss commercial law could be changed by the Responsible Business Initiative by creating potential liability for Swiss-based multinational companies in Swiss court for violations of international norms by their foreign subsidiaries.
v. It is possible for parties in Switzerland to litigate in person (i.e. without being represented by a lawyer) before all civil courts including the Federal Court.",i and ii,none of the statements,"ii, iii, and iv","iii, iv, and v",,4
"The Confederation and the Cantons: Which of the following statements are correct?
i. If it is deemed necessary to create a new competence (which does not yet exist) for the Confederation, it is necessary to amend the Federal Constitution accordingly.
ii. If a Canton wishes to leave the Confederation and to become a new and independent state, it is enough to notify this wish to the Confederation (usually after a general referendum is held in the Canton at issue), and negotiations between the Confederation and the Canton at issue on the conditions of the withdrawal can start.
iii. The Cantons are sovereign except to the extent that their sovereignty is limited by the Federal Constitution.
iv. Switzerland consists of 26 Cantons (whereby six Cantons are so-called half-Cantons).","i, ii, and iii","i, iii, and iv",iv,none of the statements,,2
"Which of the following statements is/are incorrect?
i. The party suffering from a fundamental error must notify the other party of his or her defect in consent within one year since the defect has been discovered, otherwise the contract is deemed to have been ratified.
ii. Human rights are a modern invention.
iii. For the creation of the Red Cross, Henri Dunant was influenced by the events of the American Civil War: when he came back to Switzerland, in 1862, he published his campaigning book entitled Memories of Solferino.
iv. Referenda against the adoption of new acts by the Federal Assembly (Parliament) are advisory, i.e., the Federal Assembly must take the result into account, but it is not bound by it.",iii,"i, ii, and iii",ii,ii and iv,,2
"The rise of legislation was a defining element of modern legal Swiss tradition. Please indicate whether the following statements are correct:
i. 19th century Swiss constitutional laws as the federal constitution of 1848 and 1874 included already fundamental rights.
ii. Laws and legislation were present in Swiss legal history only after 1798 and the emergence of the Helvetic Republic.
iii. Swiss codifications of law were strongly shaped by foreign legal traditions particularly from Austria, France and Germany.
iv. By the late 19th century Swiss cantons ceased their legislator power to the federal level.","i, ii, and iii",i and iii,ii,"i, ii, and iv",,2
"Which one of the following is not a bilateral agreement that Switzerland has concluded?
i. Double tax treaty with Hong Kong SAR
ii. Agreement on Social Security with the PRC
iii. Mutual recognition and enforcement of civil and commercial cases
iv. Double tax treaty with the PRC",ii,iv,i and ii,iii,,4
"Based on the following context, please select all statements that do not apply.
Context: Legal theory and legal philosophy deal with various kinds of questions, they investigate in various ways.
i. The question as to whether moral terms denote any entities that exist in the world is one of ontology.
ii. Whether the law is but the superstructure of the relations of production is a descriptive question.
iii. A theory that justifies human dignity based on human autonomy is a purely explanatory one.
iv. Whether people have a duty to help one another, and under what conditions, is a normative question.",iii,"i, iii, and iv",iii and iv,i,,1
"What major amendment was made by the revision of the Chinese Trademark Law in 2014?
i. Trademarks may now also be registered in Chinese characteristics;
ii. Against the background of the creation of famous Chinese trademarks, the priority right of famous foreign trademarks is limited.
iii. Trademarks applied for registration by foreigners take precedence over local applicants;
iv. The strict ""first-to-file system"" has been weakened to the effect that the registration and use of a trademark must follow the principle of good faith, otherwise no priority right can be asserted;",ii and iii,iii and iv,iv,i and iii,,3
"Which of the following statements is/are incorrect?
i. Swiss commercial law allows companies to be registered as limited or unlimited liability companies.
ii. The principle of the oldest parentel means that only the members of the oldest generation alive are heirs of the deceased person: if the deceased person leaves children as well as parents, the parents are his/her legal heirs.
iii. In Switzerland, a strict reciprocity principle applies with respect to the recognition and enforcement of foreign judgments.",i and ii,i and iii,ii and iii,i,,1
"Which one of the following industries is not part of China’s economic development strategy?
i. Production of clothing
ii. Energy-efficient and environmentally friendly technology
iii. High-end equipment
iv. Biotechnology",iii and iv,i,ii and iii,"ii, iii, and iv",,2
"Which of the following statements is/are correct?
i. State action with only limited effects may still be suitable and proportionate.
ii. Referenda against the adoption of new acts by the Federal Assembly (Parliament) are advisory, i.e., the Federal Assembly must take the result into account, but it is not bound by it.
iii. Judgments given in Swiss civil proceedings become res judicata not only between the parties but against any person who has an interest in the matter.
iv. The capacity of judgment is not determined abstractly, but in light of each legal transaction or event taking place.",none of the statements,i and iv,"i, ii, and iv",ii and iv,,2
"Which of the following statements is/are correct?
i. The treasure found on alien property is a good example of how contemporary law occasionally needs to depart from the old Roman solutions.
ii. In Switzerland’s direct democracy, education is considered a key element for the regeneration of cultural resources. In this sense, the Swiss constitution provides for an extensive public education. 
iii. It is possible for parties in Switzerland to litigate in person (i.e. without being represented by a lawyer) before all civil courts including the Federal Court.",ii,i,i and iii,ii and iii,,4
"Which of the following statements is/are correct?
i. The Swiss Broadcasting Corporation (SRG) is mainly financed by a levy, which all households in Switzerland are required to pay. This ensures the SRG to fulfil its mandate in favour of democracy, cohesion and in reaching the entire population.
ii. In Switzerland, criminal law provisions exist on a federal and on a cantonal level. However, the cantons may only legislate on contraventions that are not the subject matter of federal legislation. 
iii. A measure can still be imposed on an offender who lacks criminal capacity.
iv. Ius cogens prevails over Swiss law in any case.","i, iii, and iv",ii and iv,"i, ii, iii, and iv",iii,,3
"Based on the following context, please select all statements that do not apply.
Context: Eric is a Dutch citizen who accepted a job offer in Zürich. He will take up his new position in Zürich in January 2020. Before moving to Switzerland, he would like to learn more about the Swiss tax system. In particular, he has not yet decided whether he wants to rent an apartment in Zürich or outside of Zürich, maybe even in another canton.
i. In Zürich, Eric would be subject to an income tax rate of 21.6% (federal, cantonal and communal income taxes). However, if he decides to move to another canton, his income tax rate could be much lower.
ii. If Eric decides to live in Wollerau (canton of Schwyz) and not in the city of Zürich, he will be allowed to deduct the travel expenses (daily travel by train from Wollerau to Zürich) from his income from employment.
iii. In Switzerland, regardless of the canton, Eric will be subject to a cantonal net wealth tax. On the federal level, however, no net wealth tax is levied.
iv. Eric knows that the VAT rate on the federal level amounts to 7.7%, which is very low compared to other countries. However, since the majority of the cantons additionally levy a cantonal VAT, the total VAT rate (federal and cantonal level) does not deviate much from other countries.",iii,"i, ii, and iii",iv,ii,,3
"Which of the following statements is/are correct?
i. Swiss commercial law requires that a shareholder of a company contribute only cash to become a shareholder of the company.
ii. The fight of the Swiss women for equal treatment with respect to political rights was won as late as 1971 (federal level) and 1990 (canton of Appenzell Innerrhoden). Before, women could not participate in elections and referenda.
iii. Court hearings are of high practical importance in Switzerland: 80 percent of the opened proceedings are heard by a court.
iv. Any justification of human rights must eventually refer to spiritual sources of legitimacy.
v. The “Digest” (or “Pandects”) has had a marginal impact on the Western legal tradition, compared to that of the so-called Justinian Code.",iv,ii,"ii, iii, and v","i, iv, and v",,2
"Which of the following statements is/are correct?
i. A contract is void if there is a defect in the conclusion of it.
ii. The Code of Obligations of 1881 comprised provisions regarding the general and specific law of obligations (contracts and torts) and commercial and exchange law.
iii. The public prosecutor decides whether detention on remand and security detention are permitted.
iv. The “Digest” (or “Pandects”) compiled and promulgated in Constantinople in the 6th century CE by order of Justinian I.
v. Swiss commercial law allows companies to be registered as limited or unlimited liability companies.","i, ii, iv, and v",i and iv,"i, ii, and iii","i, iii, and v",,1
"Which of the following statements is/are correct?
i. In Swiss civil proceedings, it is generally open to the parties to appoint experts for the purpose of giving evidence.
ii. Under Swiss law, in order for one’s actions to create legal effect one must not necessarily have capacity of judgement.
iii. The scientification of law in Switzerland during the 19th century was most prominently promoted by Friedrich Ludwig Keller and Johann Caspar Bluntschli.",i and iii,iii,none of the statements,ii and iii,,2
"Which of the following statements is/are correct?
i. Spouses are subject to the provisions governing separation of property, provided they have not agreed otherwise in a marital agreement and provided no extraordinary marital property regime has come into effect.
ii. It is possible for parties in Switzerland to litigate in person (i.e. without being represented by a lawyer) before all civil courts including the Federal Court.
iii. Carl Stooss advocated that sanctions for committed offences may only be retributive: offenders shall pay for the offence they committed.
iv. A measure can still be imposed on an offender who lacks criminal capacity.",ii and iv,i,ii,i and iv,,1
"Which of the following statements is/are incorrect?
i. The marital property regime is dissolved through divorce.
ii. Legal sociology develops theories which simplify segments of reality in an exemplary way.
iii. In legal sociology it is recommended to observe a real legal problem from the perspective of legal doctrine and then to reintroduce the findings into the legal system.
iv. In 1874 the Federal legislative power was authorised to legislate on obligations-, commercial- and exchange law, civil capacity, copyright law, debt enforcement and bankruptcy law, according to Article 64 of the Federal constitution.","i, iii, and iv",i,"i, ii, and iv","ii, iii, and iv",,2
"In which of the following cases may the parties agree on Singapore law as the law applicable to the contract (in all cases it must be assumed that the parties are a company domiciled in Hong Kong on the one hand and a Chinese company domiciled in Shanghai on the other)?
i. An agreement regarding the sale of the participation in the joint venture from the Hong Kong-based company to the Shanghai-based Chinese company
ii. An agreement under which the Hong Kong-based company licenses technology to the Shanghai-based company for the production of solar panels in the factory of the Shanghai-based company
iii. A Co-operative Joint Venture Agreement
iv. An equity joint venture agreement",iii and iv,iv,ii,"ii, iii, and iv",,3
"Which one of the following was the main goal of China’s Open Door Policy that was introduced in 1978
i. To adopt a Western-type legal System;
ii. To bring foreign investment to China and to obtain advance and adequate technology and generate foreign exchange through trade;
iii. To attract foreigners from Western countries to work in China.
iv. To open-up China for investment by Private Equity;",iii and iv,iv,"i, ii, iii, and iv",ii,,4
"Based on the following context, please select all statements that do not apply.
Context: Dr. Genius estimates the value of a real estate in the canton of Lucerne on demand of Katrina.
i. Estimating the value of a real estate is an agreement on a measurable result that can be guaranteed.
ii. If Katrina revokes the contract at an inopportune point in time, she must compensate Dr. Genius for any resulting damage.
iii. Every contract falls under one of the types in the second division of the Swiss Code of Obligations.",iii,"i, ii, and iii",i and iii,i and ii,,3
"Which of the following statements is/are incorrect?
i. In Switzerland’s direct democracy, education is considered a key element for the regeneration of cultural resources. In this sense, the Swiss constitution provides for an extensive public education. 
ii. Acts adopted by the Federal Assembly can be challenged before the Federal Supreme Court, which might annul them in case they violate the constitution (constitutional review).
iii. Fiancés are legal heirs.
iv. In Swiss civil proceedings, it is generally open to the parties to appoint experts for the purpose of giving evidence.",ii,i and iv,"i, ii, iii, and iv","i, iii, and iv",,4
"Which of the following statements is/are correct?
i. For the creation of the Red Cross, Henri Dunant was influenced by the events of the American Civil War: when he came back to Switzerland, in 1862, he published his campaigning book entitled Memories of Solferino.
ii. Under Swiss law, in order for one’s actions to create legal effect one must not necessarily have capacity of judgement.
iii. A popular initiative which envisages the introduction of a new provision into the constitution violating international human rights law (such as the European Convention on Human Rights, ECHR), must be declared invalid by the Federal Assembly and will not be put to the vote of the people and the cantons.","i, ii, and iii",iii,none of the statements,ii and iii,,3
"Which of the following statements is/are correct?
i. In Switzerland, a strict reciprocity principle applies with respect to the recognition and enforcement of foreign judgments.
ii. If a party successfully abstractly/directly challenges legislation, the attacked legislation is rescinded. If a party, however, successfully concretely/indirectly challenges legislation, the underlying legal provision is not annulled. Only the administrative decision is repealed.
iii. A popular initiative which envisages the introduction of a new provision into the constitution violating international human rights law (such as the European Convention on Human Rights, ECHR), must be declared invalid by the Federal Assembly and will not be put to the vote of the people and the cantons.",i,none of the statements,i and iii,ii,,4
"What was the main issue why Hermes lost its trademark court case against Guangdong Foshan Dafeng Garment?
i. The transfer of Hermes trademark was not made in accordance with the legal provisions
ii. Hermes had not originally not registered its trademark in Chinese characters
iii. The trademark license agreement between Hermes and Guangdong Foshan Dafeng Garment did not include a jurisdiction clause
iv. Hermes had not registered its trademarks in English language in the PRC",i and iii,"i, ii, and iii",ii,iii,,3
"What is the so called “commerce clause”?
i. The provision in the US Constitution that gives power to federal government to regulate interstate trade.
ii. A general rule that applies to all shopping centers in the US.
iii. The common law principle that regulates interstate commerce.
iv. The provision in the US Constitution that leaves the regulation of commerce to the individual states.",iii and iv,ii,ii and iii,i,,4
"Who are the two so called “sisters republics”?
i. The Netherlands and Great Britain.
ii. The United States and France.
iii. Great Britain and the United States.
iv. Switzerland and the United States.",ii,iv,ii and iv,"i, ii, iii, and iv",,2
"On October 15, 2017, Carolina and Giuseppe DeCecco celebrate their 40th wedding anniversary. In honour of this special day, they ordered their dream car: a Fiat cinquecento cabriolet. They wanted to go on a sort of second honeymoon with it, starting on the day of their anniversary. The car dealer knew this and guaranteed that the car would arrive by the end of September 2017. Unfortunately, the car did not arrive by October 15, 2017 and the DeCeccos had to rent a rental car for their two-week trip. What can the DeCeccos do once they return from their holiday, when they are still without the Fiat cinquecento cabriolet? Which statements are correct?
i. Although the trip is over, the choice that best meets the desires of the DeCeccos under the circumstances is to compel performance in addition to suing for damages in connection with the delay.
ii. If we are told that the car dealer is in default and also have failed to comply with a new time limit which the DeCeccos provided them with, this would mean that the DeCeccos can decide if they want to compel or forego subsequent performance.
iii. The DeCeccos cannot sue the car dealer for the extra cost they incurred by renting another car for their trip.
iv. If prices for the Fiat have risen in the meantime, it would be favourable for the DeCeccos to forego subsequent performance and withdraw from the contract.","i, iii, and iv",i and iv,i and ii,iii,,3
"Which of the following statements is/are incorrect?
i. Swiss commercial law requires Swiss banks in all circumstances to disclose the account information of their customers to foreign tax authorities.
ii. The death penalty for all crimes was abolished with the entering into force of the Swiss Criminal Code on 1 January 1942.
iii. The capacity of judgment is determined once in a lifetime, when the person has reached the age of 18.
iv. Ius cogens prevails over Swiss law in any case.
v. The Federal Council consists of a Prime Minister and six other ministers. The Prime Minister represents Switzerland abroad and enjoys special powers. He/she can dissolve the Federal Assembly and thus trigger general elections.",i and ii,i and iv,"i, ii, and iv","i, ii, and v",,4
"How many court systems do the US have?
i. Based on the “founding fathers” the US does not recognize any court system.
ii. The US has one court system: a federal one with state branches.
iii. The US has 3 court systems: a federal one, state ones and the US Supreme Court.
iv. The US has two court systems: a federal one and a state one (in each state one).",iv,iii and iv,"i, iii, and iv","i, ii, and iv",,1
"Anne lives in Zurich (Canton of Zurich) and works as a law clerk in Bern (Canton of Bern). She commutes daily to Bern. She would like to know whether the different items of income she earned in 2017 are subject to the federal and/or cantonal income taxes. Please indicate whether the following statements are correct:
i. Anne owns a cottage in the mountains, situated in the Canton of Nidwalden. The rental income derived from this cottage is subject to the federal income tax and the income tax of the Canton of Nidwalden.
ii. Anne derived dividends from a participation in a French company. The dividends are exempted from Swiss federal and cantonal income taxes.
iii. Anne inherited a higher amount of money from her deceased uncle, who also lived in the Canton of Zurich. She has to pay federal income tax and cantonal inheritance tax on the inheritance.
iv. The employment income of Anne is subject to the federal income tax and the income tax of the Canton of Bern.","i, iii, and iv",i,ii,ii and iv,,2
"On what sources of law did the court base its decision in “Pierson v. Post”?
i. Common law, citing prior cases decided by British courts.
ii. Common law, citing prior cases not only decided by British courts but also sources like laws made by the late Roman emperors!
iii. Common law, citing prior cases decided by US courts.
iv. Civil law.",i and iii,"i, ii, iii, and iv","ii, iii, and iv",ii,,4
"In the Yahoo! Inc. v. La Lingue Contre Le Racisme et L’antisemitisme (LICRA); L’union Des Etudiants Juifs De France (UEJF) Case,
i. the U.S. 9th Circuit Court denied the applicable French criminal law provision transnational effect that extended to U.S. territory.
ii. the U.S. 9th Circuit Court ruled that any legal act which is harmful to US interests triggers the personal jurisdiction of U.S. courts.
iii. at the outset, the problem was that Yahoo! had made accessible to all French Internet users via the Yahoo! France website the auction of Nazi artifacts.
iv. the U.S. 9th Circuit Court applied the Calder test and held that it had personal jurisdiction because of the interim orders obtained from the French Court and served in the US.",i and iv,iii and iv,"i, ii, and iv",i,,2
"Which of the following statements is/are correct?
i. The “Digest” (or “Pandects”) compiled and promulgated in Constantinople in the 6th century CE by order of Justinian I.
ii. Human rights are a modern invention.
iii. In Swiss criminal proceedings, the accused person never has to be represented by defence counsel if he/she doesn’t want to.",i and iii,ii and iii,none of the statements,i,,4
"Mark the correct answer(s).
The concept of “public security”
i. justifies interferences by the State with individual rights in the interest of its capacity to guarantee collective security interests.
ii. implies the obligation of the constitutional State to guarantee a certain level of security to its inhabitants.
iii. refers to a state of safety in the public sphere.
iv. is an essentially contested concept since there exists no definition of public security.",i and iv,i and iii,iv,i and ii,,4
"Based on the following context, please select all applicable statements.
Context: Dr. Genius estimates the value of a real estate in the canton of Lucerne on demand of Katrina.
i. Estimating the value of a real estate is an agreement on a measurable result that can be guaranteed.
ii. If Katrina revokes the contract at an inopportune point in time, she must compensate Dr. Genius for any resulting damage.
iii. Every contract falls under one of the types in the second division of the Swiss Code of Obligations.
iv. Paying a remuneration is in any case compulsory in order for a contract to be characterised as a simple agency contract.",i and ii,ii,"i, ii, and iv",i,,2
"Nullity and defeasibility of a contract are two different concepts. Please indicate whether the following statements are correct:
i. Diego sells Armando his dog. But that dog is not available: it had died one week before the contract was concluded. That is a contract with an impossible content and therefore it is null/void.
ii. A contract for the sale of immovable property is only valid if it was done as a public deed (Art. 216 para. 1 CO).
iii. According to Art. 20 para. 1 CO, a sale contract concerning cocaine (an illegal drug) is not null/void.
iv. Armando sells a painting from Van Gogh to Diego. It turns out that the painting is a falsification. Diego can successfully defeat that contract within one year of discovery of the error, because of fundamental error.
v. A party that has entered into a contract under duress from the other party can defeat that contract without the application of any time limit.","i, iii, and v","ii, iii, and v","i, ii, and iv",v,,3
"Based on the following context, please select all applicable statements.
Context: Eric is a Dutch citizen who accepted a job offer in the city of Zürich and just moved to Switzerland with his wife Clara and two children. He has rented a little house in the countryside close to the city of Baden (canton of Aargau, 35 minutes by bus and train from Zürich). Eric and Clara still own an apartment in Amsterdam that they rented out.
i. They must declare the income derived from the apartment in Amsterdam in their Swiss tax return.
ii. Eric and Clara can choose whether they want to be taxed together or separately.",i and ii,ii,none of the statements,i,,4
"Which of the following statements is/are incorrect?
i. The values “power” and “not power” constitute the political system’s code according to the sociologist Niklas Luhmann.
ii. In legal sociology it is recommended to use incompatible theories simultaneously, which do not distinguish between “is” and “ought”.
iii. What should be protected by means of human rights depends on, amongst other things, a background theory of human goods. 
iv. Spouses are subject to the provisions governing separation of property, provided they have not agreed otherwise in a marital agreement and provided no extraordinary marital property regime has come into effect.",ii and iii,iv,ii,i,,1
"Based on the following context, please select all statements that do not apply.
Context: Eric is a Dutch citizen who accepted a job offer in Zürich. He will take up his new position in Zürich in January 2020. Before moving to Switzerland, he would like to learn more about the Swiss tax system. In particular, he has not yet decided whether he wants to rent an apartment in Zürich or outside of Zürich, maybe even in another canton.
i. If Eric decides to live in Wollerau (canton of Schwyz) and not in the city of Zürich, he will be allowed to deduct the travel expenses (daily travel by train from Wollerau to Zürich) from his income from employment.
ii. Eric is about to marry Clara. They plan to get married in December 2019 before moving to Zürich together. However, from a Swiss tax point of view, it may be better not to get married.",ii,none of the statements,i,i and ii,,2
"A landowner brings an action under state law against a nearby factory for polluting the water that feeds a pond on the landowner’s property. The case is brought in state court and the trial court rules in favor of the landowner. The factory owner appeals and loses the appeals before both the state court of appeals and the state supreme court. Does the factory owner have the right to have the U.S. Supreme Court hear the appeal?
i. Yes, if the appeal to the Supreme Court is filed in a timely manner.
ii. No, because there is no right to have the Supreme Court heard appeals in any but a very select category of cases in which this case does not fall.
iii. No, because it is a state law issue.
iv. Yes, because the case was decided by the state supreme court.",iii,ii,ii and iii,"i, iii, and iv",,2
"Which of the following statements does not apply in connection with a hybrid co-operative joint venture?
i. From the point of view of company law, liability is limited to the equity investment
ii. Participation in the profit and liquidation result is compulsory in accordance with the equity interest
iii. At least one local Chinese partner is required
iv. It is a form of investment based on consensus",iii,"i, ii, and iii",i,ii,,4
"Which of the following statements is/are correct?
i. The validity of ownership transfer by means of possession depends on the validity of the underlying contract.
ii. Ein Strafbefehl kann vom Staatsanwalt erlassen werden, wenn er/sie eine Freiheitsstrafe von bis zu 12 Monaten als angemessen erachtet.
iii. In 1892, Eugen Huber was appointed to prepare a first draft of the Swiss Civil Code.",none of the statements,iii,ii and iii,i and iii,,4
"Which of the following statements is/are incorrect?
i. According to the of the Swiss Civil Code, a person is capable of exercising judgement within the meaning of the law if he or she does not lack the capacity to act rationally by virtue of being below a certain age or because of mental disability, mental disorder, intoxication, or due to other similar circumstances. Capacity of judgment is a key concept of Swiss law of persons. Capacity of judgment is a key concept of Swiss law of persons.
ii. The Federal Assembly (Parliament) consists of two chambers, the National Council and the Council of States. The two chambers are equal and have similar powers. In particular, both chambers must agree on the enactment of federal acts. The two chambers are equal and have similar powers. In particular, both chambers must agree on the enactment of federal acts.",i and ii,i,none of the statements,ii,,3
"Based on the following context, please select all statements that do not apply.
Context: Legal theory and legal philosophy deal with various kinds of questions, they investigate in various ways.
i. The question as to whether moral terms denote any entities that exist in the world is one of ontology.
ii. A theory that justifies human dignity based on human autonomy is a purely explanatory one.
iii. Whether people have a duty to help one another, and under what conditions, is a normative question.
iv. Whether and how humans can come to know moral truths is a question of ontology.","i, iii, and iv","i, ii, iii, and iv",ii and iv,i and ii,,3
"Which of the following statements is/are correct?
i. In Switzerland, it is possible to enforce a money debt without obtaining a court judgment if the debtor does not object to an order for payment issued in enforcement proceedings.
ii. In Swiss civil proceedings, the parties can normally appeal against the decision of the last-instance cantonal court to the Federal court.
iii. In Switzerland, a foreign judgment and a foreign insolvency decree can be recognised and enforced irrespective of whether Swiss judgments and Swiss insolvency decrees would also be recognised and enforced in the state of origin of the foreign judgment or decree.
iv. If a party successfully abstractly/directly challenges legislation, the attacked legislation is rescinded. If a party, however, successfully concretely/indirectly challenges legislation, the underlying legal provision is not annulled. Only the administrative decision is repealed.",i,ii,"i, ii, iii, and iv",i and iii,,3
"Which of the following statements is/are correct?
i. The Swiss constitution does not consider the function of the Swiss radio and television to provide “education” and “cultural development”, but only mentions “entertainment”.
ii. In Swiss civil proceedings, it is generally the task of the judge to establish the facts of the case ex officio.
iii. In Swiss civil proceedings, an arbitral tribunal can generally make a binding decision on its own jurisdiction without any possibility for scrutiny by a state court.",none of the statements,i,ii,iii,,1
"Which of the following statements is/are correct?
i. Swiss commercial law requires that a shareholder of a company contribute only cash to become a shareholder of the company.
ii. Switzerland is a member of the European Free Trade Association (EFTA), but not of the European Economic Area (EEA).
iii. Spouses are subject to the provisions governing separation of property, provided they have not agreed otherwise in a marital agreement and provided no extraordinary marital property regime has come into effect.",i and iii,i,none of the statements,ii,,4
"Which of the following statements is/are correct?
i. Fiancés are legal heirs.
ii. Human rights cannot be justified outside of the context of Western culture.
iii. Swiss commercial law requires a limited partnership to have only partners with limited liability.
iv. In Switzerland, it is possible to enforce a money debt without obtaining a court judgment if the debtor does not object to an order for payment issued in enforcement proceedings.","i, ii, and iv",ii and iii,iii,iv,,4
"Which of the following statements is/are correct?
i. Under the statutory marital property regime of participation in acquired property, acquired property comprises the assets which a spouse acquired for valuable consideration during the marital property regime.
ii. Swiss commercial law prevents shareholders in a limited liability company from being liable for losses greater than their investment in the company.
iii. Fiancés are legal heirs.
iv. The Federal Supreme Court can revoke cantonal legislation. However, it cannot revoke federal laws/acts. Also, it must apply federal laws/acts which it considers to be unconstitutional. 
v. If a party successfully concretely/indirectly challenges legislation, the administrative decision as well as the underlying legal provision are annulled.","i, ii, and iv","i, iv, and v",i and iii,"i, iii, and iv",,1
