question,answer1,answer2,answer3,answer4,answer5,solution
甲은 과거 연인 관계였던 乙이 이별을 통보한 뒤에도 乙의 집에 미리 알고 있던 비밀번호를 입력하여 무단으로 들어간 후 乙을 폭행하고 강제로 성관계를 맺었다. 이후 甲은 乙의 허락 없이 乙의 나체가 노출된 사진을 휴대전화로 촬영하였다. 다음 중 甲의 법적 책임에 관한 설명으로 옳은 것은?,"甲은 주거침입과 강간, 카메라 등을 이용한 신체촬영죄 모두 성립한다.",甲은 피해자의 집에 들어갈 당시 비밀번호를 알고 있었으므로 주거침입죄는 성립하지 않는다.,甲이 촬영한 사진이 외부에 유포되지 않았다면 카메라 등 이용 촬영죄는 성립하지 않는다.,甲은 피해자와 합의하고 피해자가 처벌을 원하지 않으므로 강간죄의 처벌이 면제된다.,甲은 촬영 행위가 피해자를 위로하기 위한 의도였음을 주장할 수 있으므로 신체촬영죄가 성립하지 않는다.,A
"회사 X는 토지 매매계약을 체결하며, 매수인 Y가 잔금을 기한 내 납부하지 않으면 기지급한 계약금은 매도인 X에게 귀속된다는 손해배상 예정 조항을 두었다. 매수인 Y는 계약금이 전체 매매대금의 10%인 2억 원이라며 과다하다며 감액을 청구하였다. 그러나 Y는 상장기업의 대표로 다수의 부동산 거래 경험이 있었고, 계약도 스스로 능동적으로 제안하여 체결하였다. 이 경우 민법상 손해배상 예정액 감액이 가능한지 옳게 판단한 것은?",특별한 부당 압박이나 형평성 위반 사정이 없다면 손해배상 예정액 감액은 허용되지 않는다.,계약금이 전체 대금의 10%를 넘는 경우라면 당연히 감액된다.,상대방이 기업 대표이더라도 실제 손해가 예정액보다 적다는 이유만으로 감액해야 한다.,경험이나 거래 관행은 불문하고 계약금조항은 일률적으로 감액된다.,법원은 실제 손해와 관계없이 채무자가 약자인 경우에는 항상 감액해야 한다.,A
"C운수회사 소속의 견인차 기사가 자신의 차량을 회사에 지입하고 회사의 배차지시에 따라 일정 지역에서 견인업무를 수행하며, 수수료를 견인 실적에 따라 지급받는다. 차량의 유지비, 보험료 등은 기사 본인이 부담하고, 출퇴근 시간이나 휴가 등은 기사 자율에 맡긴다. 견인기사의 근로자성 여부가 문제될 때, 다음 중 올바른 법적 판단은 무엇인가?","견인기사가 회사의 구체적인 지휘·감독 아래 근로를 제공하였는지, 실질적으로 임금을 지급받았는지 등을 종합적으로 판단하여 근로자에 해당할 수 있다.",견인기사가 차량 유지비를 스스로 부담했으므로 근로자성이 무조건 부정된다.,견인기사가 사업소득세로 원천징수됐으므로 근로자성은 인정될 수 없다.,"출퇴근 시간, 취업규칙 미적용 등 일부 요소만으로 근로자성을 판단할 수 있다.",자신의 차량을 지입했으므로 무조건 개인사업자로 간주돼 근로자성이 인정될 수 없다.,A
"국내 제조업체 X가 판매 촉진을 위하여 도매상 Y에 대해 상품 판매량 증가를 전제로 인건비와 차량유지비 일부를 일정 기간 동안 지원하기로 약정하고, 실제로 해당 금액을 지급하였다. 이 지급액이 법인세 손금 산입 가능한 판매부대비용인지, 아니면 접대비에 해당하여 손금 산입이 제한되는지가 문제된다. 다음 중 옳은 판단은?",X가 도매상 Y에게 지급한 인건비와 차량유지비는 판매 촉진을 목적으로 거래 관련 사정에 비추어 정상적인 거래로 인정된다면 판매부대비용으로서 손금 산입이 가능하다.,X가 도매상 Y에게 지급한 인건비와 차량유지비는 상대방과의 친목을 도모하기 위한 목적이 아니더라도 접대비로 본다.,X의 지급 행위가 금전 외에 사업용 자산으로 이뤄졌다 하더라도 이는 모두 접대비에 해당한다.,판매부대비용은 반드시 사전약정이 있어야만 손금 산입이 인정된다.,"지급된 금액의 규모가 크다면, 판매 촉진 목적이 명확하더라도 당연히 접대비로 분류된다.",A
"X시는 도시환경정비사업의 시행인가를 하면서, 인·허가의제 규정에 따라 건축허가도 받은 것으로 처리하였다. X시는 해당 사업자에게 광역교통시설부담금 부과처분을 하였는데, 사업자는 별도의 건축허가를 받지 않았으므로 부담금 부과대상이 될 수 없다고 주장한다. 이 사례에서 옳은 법적 판단은?",건축허가가 인·허가의제 규정에 따라 있었던 경우에도 광역교통시설부담금 부과대상에 해당한다.,별도의 건축허가가 없으면 광역교통시설부담금 부과대상이 아니다.,도시환경정비사업은 그 성질상 어떤 경우에도 부담금 부과대상에서 제외된다.,광역교통시설부담금은 단순히 행정처분이면 언제든 부과할 수 있다.,광역교통시설부담금의 대상은 대통령령이 정하지 않는 한 오로지 특별법 나열 사업에 한정된다.,A
"Y도시는 광역교통시설부담금 부과 대상을 시행령에서 구체적으로 정하도록 위임받고 있다. 이에 대해 사업자는, 법률에 세부사항이 명확히 규정되지 않으므로 이 위임은 무효라고 주장한다. 이 상황에서 옳은 법적 판단은?","위임명령에 규정될 내용의 대강을 법률이나 상위명령으로부터 예측할 수 있다면, 세부 범위까지 모두 법률에 규정하지 않아도 위임은 유효하다.",법률에 사업의 모든 세부내용이 명시되지 않으면 위임입법은 항상 무효가 된다.,관련 위임은 부담금관리기본법에 저촉되어 원칙적으로 무효이다.,대통령령에 세부 범위가 있는 경우에는 법률 근거가 없어도 부담금을 부과할 수 있다.,시행령의 부과대상 규정은 법률에 아무런 근거가 없어도 입법자의 판단에 따라 정할 수 있다.,A
"Z시는 도정법에 따라 인·허가의제 방식으로 복합시설 건축을 승인했으며, 건축법 제8조상의 건축허가도 이 절차에 의제되었다. Z시는 이에 대해 광역교통시설부담금을 감면규정 제2호 및 제3호뿐 아니라 제4호까지 모두 순차적으로 적용해 이중 경감을 요구하는 청구를 받았다. 법적으로 옳은 판단은?",복합시설이 주택재개발 혹은 재건축사업에 해당하지 않으므로 이중 경감 규정을 적용할 수 없다.,인·허가의제 사업은 감면 규정의 대상이 아니므로 감면할 수 없다.,감면규정은 별도의 제한 없이 중복으로 경감받을 수 있다.,도정법상 모든 정비사업은 동일하게 이중 경감이 인정된다.,감면 규정은 도시계획구역에 있으면 자동으로 모두 적용된다.,A
"금전 투자자를 모집하면서, 실제로는 약정한 수익금을 지급할 만한 수익 구조가 전혀 없었음에도 '원금과 수익금을 보장한다'고 안내하여 투자금 명목으로 돈을 받은 경우, 실제로 일부 투자자에게 약정된 수익금을 지급하였으나 이후 다른 투자자들의 투자금에서 새로운 지급재원을 마련하려다 결국 지급불능에 이른 사정이 있다. 이때 최초 일부 투자자들이 투자 원금과 수익 전부를 받았더라도, 사기죄에 해당하는지 여부를 판단하시오.",일부 투자자에게 원금과 수익이 지급된 시점에도 이미 사기죄가 성립한다.,원금과 수익이 모두 지급되었으므로 사기죄는 성립하지 않는다.,실제로 투자 명목이 존재하므로 민사상 채무불이행만 성립한다.,투자자가 손실을 예상했다면 사기죄가 성립하지 않는다.,피고인이 약속한 이익의 일부만 지급했다면 편취액은 그 미지급 금액에 한정된다.,A
"도시의 한 주택가에서 A씨가 B시청에 인접 대지에 신축 허가를 신청하자, 바로 옆집 주인 C씨는 신축될 2층 건물로 인해 자신의 주택에 그늘이 지고 전망이 가린다며 허가취소를 요구했다. B시청의 건축허가가 해당 도시의 건축법상 모든 기준을 충족한다면, C씨는 행정소송을 통해 건축허가취소를 구할 수 있는가?","C씨는 건축법이 보호하는 이익이 침해된 경우, 행정소송을 제기할 수 있다.",C씨는 인근 거주자에 불과하므로 행정소송 원고적격이 없다.,행정부가 과거와 다른 기준을 따른 것만으로 건축허가가 위법하다.,건축허가는 전적으로 행정청의 자유재량에 속하므로 법원이 관여할 수 없다.,건축허가가 적법한 범위 내라면 인근 주민의 일조권 침해만으로 허가취소를 명할 수 있다.,A
"비상장 회사인 X사는 보유하던 Y사의 주식을 최대주주 A와 공동으로 경영권과 함께 B에게 매각하였다. 이 과정에서 X사의 임원이었던 C, D는 원래 X사의 경영권에 종속되어 Y사의 이사직을 맡고 있었다. 매각 후 C, D 역시 이사직을 사임했으나, 이들은 X사가 받은 경영권 프리미엄 중 일부를 자신들도 받아야 한다며 배분을 요구하였다. 경영권 프리미엄의 분배가 정당한지에 대한 판단으로 가장 옳은 것은?","C, D는 경영권 프리미엄의 분배를 받을 합리적 경제적 이유가 없으므로, 이를 배분받을 수 없다.","C, D는 비록 이사직을 상실했으나 경영에 기여하였으므로 경영권 프리미엄의 일부를 받을 수 있다.",경영권 프리미엄은 경영참여의 정도에 따라 직원 모두가 균등하게 나눌 수 있다.,X사가 아닌 임원들이 경영권 프리미엄을 분배받는 것은 해당 세법상 원칙적으로 허용된다.,경영권 프리미엄 분배가 아닌 주식양도 차익만 과세 대상이 된다.,A
"채무자가 본인 명의로 매매대금을 받을 권리가 있었으나, 해당 대금을 남편에게 증여한 결과 현재 채권자에 대한 변제자력이 부족하게 되었다. 단, 증여된 금원 중 일부는 자녀의 교육비로 사용되었음을 주장한다. 이러한 상황에서, 채권자가 채무자의 증여행위에 대해 사해행위 취소를 청구한 경우 어떤 판단이 타당한가?",채무자가 남편에게 증여한 행위는 사해행위에 해당하여 취소대상이 된다.,채무자가 증여한 금원이 자녀의 교육비로 사용되었으므로 이는 사해행위가 아니다.,증여행위는 가족 간에 이뤄졌으므로 사해의사가 인정되지 않는다.,증여된 금원이 일부 반환되었으므로 사해행위 취소 청구는 인정되지 않는다.,채무자가 직접 사용한 금원이 아니라면 사해행위로 볼 수 없다.,A
"지방자치단체가 공연장 건립을 위한 재정 지원금을 A 예술단체에 지급하였는데, A 단체가 일부 집행 내역에서 실제보다 사업비를 부풀려 허위 보고하여 지원금을 과다하게 지급받은 사실이 적발되었다. 지방자치단체는 지원금 전액 반환을 명하는 처분을 하였다. 이 처분의 적법성 판단에 대한 설명으로 옳은 것은?","당초 약정과 달리 과다하게 받은 부분에 대해서만 반환을 명할 수 있고, 정상적으로 지급받을 수 있었던 지원금까지 전액 반환을 명한 처분은 위법하다.",지원금이 임의적 지원이라는 이유로 허위 보고와 관련 없는 정당하게 지급받은 지원금까지 반환을 명할 수 있다.,"A가 제출한 집행내역 전부에 허위가 일부라도 포함되어 있다면, 지원금 전액에 대하여 반환 명령이 가능하다.",허위 사실이 일부라도 발견되었으므로 일부 환수액이 특정되지 않더라도 전체 반환 처분은 적법하다.,지원금 반환 약정서상 '일체 반환' 특약이 있다면 과다 지급분을 넘어 전부 환수 처분도 원칙적으로 적법하다.,A
"건물 A는 건축물관리대장과 건축허가서상 '업무시설(오피스텔)'로 등록되어 있으나, 실제로 대부분의 세입자들이 주거용으로 사용하였다. 과세관청은 해당 건물의 분양 공급에 대해 부가가치세를 과세하였다. 부가가치세 면제대상인 '주택법에 따른 국민주택'의 해석에 관한 판단으로 옳은 것은?",업무시설로 건축허가 및 사용승인을 받은 건물은 실제 거주여부와 무관하게 부가가치세 면제대상인 주택에 해당하지 않는다.,입주자가 모두 주거용으로 사용하면 현실상 주택이므로 부가가치세가 면제된다.,분양 이후 임차목적이 주거라면 건축허가 목적에 불구하고 부가가치세 면제대상이다.,업무시설이라도 주거에 적합하게 설계되었으면 부가가치세가 면제된다.,오피스텔은 임대용으로 공급할 경우에 한하여 부가가치세가 면제된다.,A
"강 씨는 신규로 주택신축판매업 사업자등록을 하고, 분양허가를 받기 전에 이미 토지 취득 및 착공 등의 준비행위를 모두 완료하였다. 과세 기간 중 수입금액이 기준금액을 초과한 상황에서, 소득세 단순경비율 적용대상 여부를 판단함에 있어 사업개시일 기준에 대한 법리 적용으로 가장 타당한 것은?",분양이 개시된 날을 사업개시일로 보아야 한다.,사업자등록일을 사업개시일로 보아야 한다.,토지 취득일 또는 착공일을 사업개시일로 보아야 한다.,사업자등록과 착공 중 빠른 날을 사업개시일로 한다.,분양수입 발생 여부와 무관하게 실질적으로 준비가 완료된 시점이면 사업개시일이다.,A
"30세의 갑은 공원에서 우연히 만난 16세 을을 자신의 집으로 데려간 뒤 폭행과 협박으로 강간하였다. 사건 후 을은 갑을 용서한다는 의사를 밝히고, 처벌을 원하지 않는다는 합의서를 제출하였다. 검사는 이에 근거해 공소를 유지할 수 있는지 문제된다.",피해자인 을이 고소를 취소하더라도 검사는 강간죄로 갑을 계속 기소할 수 있다.,피해자인 을이 고소를 취소하면 갑에 대한 공소는 반드시 취소되어야 한다.,"갑이 을이 미성년자임을 인식하지 못했다면, 고소가 없을 경우 공소를 제기할 수 없다.",을이 성년에 달하지 않은 경우에도 강간죄는 친고죄로서 반드시 피해자의 고소가 필요하다.,피해자와 피고인 사이에 합의가 이루어지면 공소가 취소되어야 한다.,A
"국가가 부과하는 개발부담금에 관하여, A농업협동조합은 자신이 개발사업의 시행자이지만 조세 외의 부담금을 면제받는다는 농업협동조합 관련 법률 조항에 따라 개발부담금도 전액 면제되어야 한다고 주장한다. 이 경우 A농업협동조합의 개발부담금 납부의무에 대한 법적 판단으로 옳은 것은?","A농업협동조합은 개발이익환수에관한법률 및 그 시행령이 정한 범위 내에서만 개발부담금의 일부 경감을 받을 수 있고, 전액 면제 대상이 되지 않는다.",A농업협동조합은 농업협동조합법상의 면제 규정에 따라 개발부담금 납부 의무가 전적으로 면제된다.,A농업협동조합은 지방세법상 감면 규정을 원용하여 개발부담금을 감면받는다.,A농업협동조합은 개발사업의 공익성을 이유로 개발부담금 부과 대상에서 완전히 제외된다.,A농업협동조합에 적용되는 개발이익환수에관한법률의 감면 규정은 농업협동조합법보다 후순위로 적용된다.,A
"방송사 A는 유명 다큐멘터리의 제작자 동의 없이 일부 장면을 3분간 예능 프로그램에서 영리 목적(광고와 유료 서비스)으로 사용하였다. 사전에 저작권자 동의를 얻는 것이 특별히 어렵지 않았으며, 해당 장면 사용이 시청자에게 흥미 또는 정보 제공 목적임을 주장한다. 이때 A의 행위가 저작권법상 '공정 이용'에 해당하는지 판단하시오.",A의 행위는 영리 목적 등 제반 사정을 고려할 때 공정 이용 요건을 충족하지 않아 저작재산권 침해에 해당한다.,A의 행위는 정보제공이라는 목적이 있으므로 비영리 목적과 마찬가지로 공정 이용에 해당한다.,"저작권자의 동의 여부는 중요하지 않으며, 인용 분량이 짧으므로 공정 이용이 인정된다.","영상 저작물은 저작권법상 인용의 대상이 아니므로, 이용행위의 목적과 관계없이 항상 침해에 해당한다.",시청자 흥미 유발을 위한 방송은 관행상 공정 이용에 해당하므로 저작재산권 침해가 아니다.,A
"세무서장이 세금부과처분을 하면서 납세고지서에 과세표준과 세액 산출근거를 제대로 기재하지 않고 세목과 세액만을 적은 경우, 납세자가 별도의 이의신청이나 소송 등을 거치지 않고, 해당 처분의 위법을 들어 곧바로 무효확인을 구할 수 있는가?","세액 산출근거가 기재되지 않은 납세고지서는 특별한 사정이 없으면 위법하므로, 해당 부과처분의 무효확인을 구할 수 있다.","세액 산출근거의 기재 누락은 단순 절차상 하자에 불과하여, 납세자는 위법을 이유로 부과처분의 취소만을 구할 수 있고 무효확인을 구할 수는 없다.","행정청이 뒤늦게 산출근거를 보완하면 처음의 납세고지서 하자는 치유되므로, 부과처분에 대한 무효확인청구는 허용되지 않는다.","납세고지서에 세액 산출근거가 없더라도 국세기본법상 신고세목에는 위 기준이 적용되지 않으므로, 무효확인은 허용되지 않는다.",세액 산출근거가 일부만 기재된 경우에도 납세자가 이를 추정할 수 있다면 부과처분은 적법하여 무효확인은 인정되지 않는다.,A
"양도소득세·증여세 등 국세의 부과제척기간과 관련하여, 납세자가 허위 신고만 하였고 별다른 은닉 행위 없이 단순히 실제 거래나 소득을 누락시킨 경우, 부과제척기간은 어떻게 산정되는가?","사기 기타 부정한 적극적 은닉행위가 있어야만 10년의 부과제척기간이 적용되며, 단순 미신고·허위신고만으로는 적용되지 않는다.",허위신고만 있었더라도 과세관청이 놓칠 수 있으므로 예외 없이 10년 부과제척기간이 적용된다.,"실제 거래를 숨기지 않아도, 허위신고 사실이 적발되면 언제든 10년 부과제척기간이 적용된다.","단순 허위신고는 5년, 지연신고는 3년, 사기 등 적극 은닉행위는 10년이 각각 적용된다.","항상 5년이 적용되나, 부정한 목적이 인정되는 경우에만 10년이 된다.",A
"학교법인의 이사회가 계속된 분쟁으로 주요 안건을 처리하지 못하는 상황에서, 관할청이 정당한 절차를 거치지 않고 임시이사 선임이나 기존 이사 임원의 취임승인취소 처분을 행한 경우, 해당 처분의 위법성을 판단할 때 고려해야 할 원칙과 예외에 가장 부합하는 결론은 무엇인가?","관할청은 사립학교 자율성의 원칙에 따라, 근본적 귀책사유가 본인에게 있는 경우에는 임원취임승인취소를 할 수 없다.","학교법인의 분쟁이 발생하면, 관할청은 즉시 임원 전원의 취임을 취소할 수 있다.","이사회 파행의 귀책사유가 일부 이사에게 있더라도, 전체 이사 전원의 임원취임승인취소가 허용된다.","임시이사 선임의 위법성이 인정될 경우에도, 기존 이사들에 대한 행정처분의 적법성에는 영향을 미치지 않는다.",학교운영의 장애가 존재하면 누구의 책임이든 즉시 임원취임승인취소 사유가 성립한다.,A
"X가 1992년 Y에게 자본금 1억원 규모의 비상장 주식회사의 주식 일부를 실제 소유하면서 명의만 Y 앞으로 등재하였다. 이후 2007년 회사에서 무상증자를 실시하여 Y 명의의 주식에도 신주가 배정되었고, 세무당국은 이 신주 배정분이 명의신탁자인 X에게서 Y에게 증여된 것이라며 증여세를 부과하였다. X가 위 신주배정분에 대한 증여세 부과는 부당하다며 다툴 경우, 법적으로 타당한 판단은 무엇인가?","신주배정분의 실질 소유자는 X이므로, 신주 자체가 증여로 볼 수 없고 증여세 부과는 위법하다.","명의상 소유자인 Y가 신주의 배정을 받았으므로, Y가 수증자임이 명백하므로 증여세 부과는 적법하다.","무상증자는 모든 기존 주주에게 권리가 있으므로, 별도의 거래나 이동이 없어도 증여로 보아 증여세를 부과할 수 있다.",실질적 소유자와 명의자가 다르더라도 신주 발행 시 자동적으로 증여가 발생하므로 증여세 부과는 당연하다.,명의신탁 주식에 한해 신주배정으로 발생한 이익의 경우 증여세와 양도소득세를 동시에 부과할 수 있다.,A
"법인 X는 별도의 허가 없이 산업단지 내 기존 창고와 연접한 토지 A를 취득하였다. X는 당초 제출한 사용계획서에는 창고 증축 계획이 있었으나, 실제로는 창고 신축 없이 해당 부지를 주차장과 임대용 창고부지로 활용하였다. 이후 X는 사용계획의 변경허가를 받지 않았다. 이 경우 해당 토지 A의 택지초과소유부담금 부과 여부에 대한 법적 판단은?","토지 A는 제출된 사용계획서와 달리 이용되었으며, 변경허가를 받지 않았으므로 부담금 부과대상에서 제외되지 않는다.",토지 A가 실제로 주차장으로 이용되었으므로 부담금 부과대상에서 제외된다.,토지 A가 기존 창고와 일단의 토지처럼 이용되었으므로 부담금 부과대상에서 제외된다.,토지 A의 다른 용도 활용이 허가 기준 중 하나에 부합하면 부담금 부과대상에서 제외된다.,토지 A를 임대용으로 활용하였으므로 부담금이 부과될 수 없다.,A
"업무상 재해로 사망한 근로자 A가 생전에 산업재해보상보험법상 보험급여를 부당하게 수령한 사실이 있었고, 이후 A의 유족인 B가 유족급여를 청구하였다. 보험자는 B가 상속받은 A의 부당이득 반환채무액을 B에게 지급될 유족급여에서 공제하고 나머지만 지급하기로 결정하였다. 이에 대한 법적 판단으로 가장 타당한 것은?","보험자는 유족에게 지급할 유족급여에서, 유족이 상속받은 피상속인의 부당이득금 반환채무액을 충당(공제)할 수 없다.",보험자는 유족급여에서 피상속인의 부당이득금 반환채무액을 우선적으로 공제할 수 있다.,부당이득금 반환채무를 상속한 유족에 대한 유족급여는 전액 지급하지 않아도 무방하다.,유족급여와 장해급여의 법적 성격은 동일하므로 동일한 방식으로 공제할 수 있다.,보험급여에 대한 상계나 공제는 민법의 일반원칙에 따라 자유롭게 허용된다.,A
