연도,유형,문항번호,질문,지문,보기,선택지,label
2018,논증평가,32,<가> ~ <다>에 대한 평가로 적절한 것만을 <보기>에서 있는 대로 고른 것은?,"대뇌피질에는 운동을 전담하는 영역, 시각을 전담하는 영역 등이 있다. 그럼 대뇌피질 속 이런 전담 영역들을 결정하는 것은 무엇인가? 최근 연구 결과에 따르면, 각 영역의 겉모습이나 구조에 의해 그 전담 영역이 결정되는 것이 아니다. 그보다 대뇌피질 영역들 사이의 연결 방식과 대뇌피질 영역과 중추신경계의 다른 영역 사이의 연결 방식에 따라 각 대뇌피질의 전담 영역이 결정 된다. 즉 <가> 대뇌피질의 전담 영역은 각 영역이 가진 고유한 물리적 특징에 의해 결정되는 것이 아니라 다른 영역들과의 연결 양상에 의해 결정된다. </가>
<나> 대뇌피질로 들어오는 입력의 유형은 근본적으로 똑같다. </나> 물론 청각과 시각은 그 성질이 다르다. 소리는 파동의 형태로 공기를 통해 전달되고, 시각은 빛의 형태로 전달된다. 그리고 시각은 색깔 · 결 · 형태를, 청각은 음조 · 리듬 · 음색을 지닌다. 이런 점들 때문에, 각 감각기관들은 서로 근본적으로 분리된 상이한 실체로 생각되곤 한다. 그러나 그런 상이한 감각이 관련 기관에서 활동전위로 전환되고 나면, 각 기관이 뇌로 전달한 신호는 모두 똑같은 종류의 활동전위 패턴에 불과해진다. 우리 뇌가 아는 것이라곤 이들 패턴들뿐이며, 우리 자신을 비롯하여 우리가 인식한 외부 세계의 모습은 모두 그런 패턴들로부터 구축 된다. 
결국, <다> 뇌에 의해 파악된 외부 세계와 몸 사이의 경계는 바뀔 수 있다. </다> 활동전위의 패턴이 전달되면, 뇌는 전달된 패턴들에 정합성을 주는 방식으로 몸의 경계를 파악한다. 이때 패턴이 흔히 몸의 일부라고 여겨지는 것에서 유래되었는지 그렇지 않은 지는 중요하지 않다. 패턴이 정합적으로 전달되기만 하면, 뇌는 그 패턴만을 이용해서 그것이 유래된 것을 몸의 일부로 통합하게 된다. 외부 세계와 우리 몸에 대한 지식은 모두 패턴들로부터 구축된 하나의 모형일 뿐이다.","<보 기>
ㄱ. 대뇌피질 전체가 겉모습이나 구조 면에서 놀라울 정도로 균일하다는 사실은 <가>를 강화한다. 
ㄴ. 뇌기능 영상촬영 기법들을 이용하여 특정 과제가 수행될 때 평소보다 더 활성화되는 부위를 검출함으로써 얼굴인식 영역, 수학 영역 등과 같은 특화된 영역들을 확인하였다는 사실은 <나>를 약화한다. 
ㄷ. 다른 감각을 차단한 채, 작은 갈퀴를 손에 쥐고 무엇인가를 건드리도록 한다면 뇌는 작은 갈퀴를 우리 몸의 일부로 여긴 다는 사실은 <다>를 강화한다.","①ㄱ ②ㄴ ③ㄱ, ㄷ
④ㄴ, ㄷ ⑤ㄱ, ㄴ, ㄷ","ㄱ, ㄷ
"
2018,논증평가,33,다음의 가설과 실험에 대한 평가로 옳은 것만을 <보기>에서 있는 대로 고른 것은?,"교통사고로 뇌 손상을 입은 어떤 환자는 사고 후 의사나 가족들, 친구들에게 자신의 아내가 가짜라고 말하지만 여전히 아내와 함께 식사를 하고 같은 집에 살면서 일상을 함께 보낸다. 이 환자는 자신의 아내가 가짜라고 믿고 있는가? 사람들이 이 질문에 답하는 데에 무엇을 고려하는지 알기 위해, 실험으로 다음 가설들을 평가하였다. 
<가설 1> 사람들은 다른 사람이 어떤 믿음을 갖는지 판단할 때, 그 사람의 언어적 행동과 일치하는 믿음을 갖는다고 판단한다. 
<가설 2> 사람들은 다른 사람이 어떤 믿음을 갖는지 판단할 때, 그 사람의 비언어적 행동과 일치하는 믿음을 갖는다고 판단한다. <실험 1>과 <실험 2>에서 실험 참가자들에게 교통사고로 뇌 손상을 입은 K에 관한 이야기를 해 주고 ""K는 그의 아내가 가짜라고 믿고 있는가?""라고 질문하였다. <
실험 1> 실험 참가자 120명을 무작위로 A 그룹과 B 그룹으로 나누 었다. A 그룹에게는 K가 아내를 가짜라고 말하지만 사고 전과 동일하게 아내와 일상을 보내고 있다고 이야기해 주었다. B 그룹 에게는 K가 아내를 가짜라고 말하면서 사고 전과 달리 아내와 일상을 보내기를 거부한다고 이야기해 주었다. 
<실험 2> 실험 참가자 90명을 무작위로 A 그룹과 B 그룹으로 나누었다. A 그룹에게는 K가 사고 후 단 한 번 아내에게 ""당신은 가짜다. 라고 말했지만 사고 전과 동일하게 아내와 일상을 보내고 있다고 이야기해 주었다. B그룹에게는 사고 후 아내에게 ""당신은 가짜다."" 라는 말을 매일 한다는 점에서만 A 그룹에게 해 준 것과 다른 K의 이야기를 해 주었다.","<보 기>
ㄱ. <실험 1>의 결과 A 그룹과 B 그룹 모두에서 질문에 '예 라고 답한 사람의 비율이 95% 이상이라면, <가설 2>는 약화 된다. 
ㄴ. <실험 1>의 결과 A 그룹에서 질문에 '예'라고 답한 사람의 비율은 20% 이하지만 B 그룹에서 '예'라고 답한 사람의 비율은 90% 이상이라면, <가설 2>는 강화된다. 
ㄷ. <실험 2>의 결과 A 그룹에서 질문에 '예'라고 답한 사람의 비율은 10% 이하지만 B 그룹에서 '예'라고 답한 사람의 비율은 90% 이상이라면, <가설 1>은 약화된다.","①ㄴ ②ㄷ ③ㄱ, ㄴ
④ㄱ, ㄷ ⑤ㄱ, ㄴ, ㄷ","ㄱ, ㄴ
"
2018,논증평가,34,<가>를 평가한 것으로 적절한 것만을 <보기>에서 있는 대로 고른 것은?,"종양억제유전자는 정상세포가 암세포로 전환되는 것을 억제 한다. 대표적인 종양억제유전자인 p53 유전자는 평상시에는 소량 발현되지만, DNA 손상 등의 외부 자극에 반응하여 발현량이 증가한다. p53 유전자의 발현에 의해 생성되는 p53 단백질은 세포 내에서 세포자살 유도, 세포분열 정지, 물질대사 억제 등의 기능을 수행한다. <가> 발현량이 증가된 p53 단백질의 물질대사 억제 기능이 암 발생을 억제한다는 가설 </가> 을 검증하려 한다. 
<실험> A, B, C 형태의 p53 돌연변이 단백질을 각각 발현하는 생쥐 실험군 a, b, c와 함께, 대조군으로 정상 생쥐와 p53 유전자가 제거된 생쥐 x를 준비하였다. 모든 실험 대상 생쥐에 대해 DNA를 손상시키는 조작을 가하였고 실험 대상 생쥐에서 p53 단백질의 발현량을 측정하고, 발현된 p53 단백질의 세포 내 기능을 확인하 였다. 이후 일정 기간 동안의 암 발생률을 확인하였다.
<실험 결과> 
 - DNA를 손상시키는 자극에 반응하여 정상 생쥐의 p53 단백 질과 생쥐 실험군 a, b의 A, B 돌연변이 p53 단백질의 발현량은 증가한 반면, 생쥐 실험군 c의 C 돌연변이 p53 단백질의 발현 량은 변화가 없었다. 
 - 생쥐 실험군 a는 암 발생률이 정상 생쥐와 동일하였고, 생쥐 실험군 b, c와 x는 정상 생쥐에 비해 암 발생률이 높았다.","<보 기>
ㄱ. 실험군 a의 p53 단백질에서 세포자살 유도 기능은 사라졌지만 세포분열 정지, 물질대사 억제 기능은 여전히 남아 있다면 가설은 약화된다. 
ㄴ. 실험군 b의 p53 단백질에서 물질대사 억제 기능은 사라졌지만 세포자살 유도, 세포분열 정지 기능은 여전히 남아 있다면 가설은 강화된다. 
ㄷ. 실험군 c의 p53 단백질에서 세포자살 유도, 물질대사 억제 기능은 사라졌지만 세포분열 정지 기능은 여전히 남아 있다면 가설은 강화된다.","①ㄱ ②ㄴ ③ㄱ, ㄷ
④ㄴ, ㄷ ⑤ㄱ, ㄴ, ㄷ","ㄴ
"
2018,과학기술,35,다음으로부터 추론한 것으로 옳은 것만을 <보기>에서 있는 대로 고른 것은?,"염색체에는 짧은 염기서열 단위가 여러 번 반복되는 STR (short tandem repeat)이라는 부위들이 존재한다. STR의 반복 횟수는 개인에 따라 다양하며, 부모로부터 자식에게 유전된다. STR의 반복횟수를 검사 및 대조하여 유전자 감식에 이용한다. 예를 들어, 두 검체를 가지고 상염색체 STR을 통해 아버지와 자식 관계를 검사할 때, 부모의 STR 한 쌍 중 자식은 한쪽만을 받으므로 동일한 STR 부위에서 한 쌍 중 하나의 반복횟수는 반드시 동일해야 한다. 만약 그렇지 않으면 친자관계의 가능성은 배제된다. 성염색체인 Y염색체는 상염색체와는 달리 쌍을 이루지 않고 1개만 존재하며 아버지의 것이 아들에게 그대로 유전된다. 그러므로 아버지와 아들의 Y염색체 STR의 검사 결과는 동일 하다. 반면 미토콘드리아 DNA는 염색체와는 무관하게 독립적인 유전을 하는데, 어머니의 것이 아들과 딸에게 그대로 유전되지만 아버지의 것은 자식에게 전해지지 않는다. 따라서 미토콘드리아 DNA 염기서열의 동일성 여부가 모계 추정에 활용된다. 
비행기 추락 지역에 흩어진 다수의 시체 파편에 대해 DNA 감식이 시행되었다. 유가족 갑과 우선 발견된 유해 파편 검체의 DNA 감식 결과가 다음 <표>와 같았다. 각 STR 부위의 유전형은 반복횟수로 표기되며, 상염색체는 한 쌍이므로 두 개의 숫자로, Y염색체는 한 개이므로 한 개의 숫자로 표기된다. 예를 들어 어떤 상염색체 STR 부위의 유전형이 (9-11)이라면 (11-9)로 표기해도 무방하다. 미토콘드리아 DNA 감식 결과는 염기서열의 특징을 그리스 문자로 표기하였다. 
<표> 갑과 검체들의 DNA 감식 결과 

| DNA 부위 이름 | 갑 | 검체 A | 검체 B | 검체 C |
|:---|:---:|:---:|:---:|:---:|
| 상염색체 STR1 | 15-15 | 10-15 | 13-13 | 12-15 |
| 상염색체 STR2 | 10-11 | 11-12 | 9-10 | 9-11 |
| 상염색체 STR3 | 7-9 | 8-9 | 5-7 | 8-8 |
| Y염색체 STR1 | 8 | 8 | 10 | 8 |
| Y염색체 STR2 | 12 | 12 | 12 | 12 |
| Y염색체 STR3 | 10 | 10 | 8 | 12 |
| 미토콘드리아 DNA | α형 | β형 | α형 | α형 |","<보 기>
ㄱ. 검체 A는 갑의 친부일 가능성이 있다. 
ㄴ. 검체 B는 갑의 이종사촌(이모의 자녀)일 가능성이 있다. 
ㄷ. 검체 C는 갑의 이복형제일 가능성이 있다.","①ㄱ ②ㄷ ③ㄱ, ㄴ
④ㄴ, ㄷ ⑤ㄱ, ㄴ, ㄷ","ㄱ, ㄴ"
2019,법규범,1,다음으로부터 추론한 것으로 옳은 것만을 <보기>에서 있는 대로 고른 것은? ,"국가는 국민의 기본권을 보장할 의무가 있다. 이를 위하여 국가는 입법 · 사법 · 행정의 활동을 행한다. 그중 행정은 법률에 근거해서 국민의 기본권을 적극적으로 실현하고, 때로는 다수 국민의 안전, 질서 유지, 공공복리를 위하여 국민의 권리를 제한 하기도 한다. 그러나 원칙적으로 행정의 역할은 국민의 기본권을 실현하는 것이므로, 여하한 이유로 국민의 기본권을 제한함에 있어서는 선행 조건을 갖춰야 한다. 즉 행정으로 인하여 직접적 으로 기본권을 제한받는 당사자 본인에게는 사전에 그 행정이 필요한 이유와 내용 및 근거를 알려야 한다. 
행정은 다양하고 복합적인 형태로 이루어진다. 행정은 한 개인 에게 권리를 갖게 하거나 권리를 제한하기도 하고, 한 개인을 대상으로 권리를 갖게 하는 동시에 일정 권리를 제한하기도 한다. 또한 행정은 국민 사이에 이해관계의 대립을 초래하기도 한다. 예컨대 신발회사가 공장설치 허가를 신청하고 행정청이 허가하는 경우에, 회사 측과 공장이 설치되는 인근 지역의 주민들은 대립 할 수 있다. 회사는 공장설치 허가를 통해 영업의 자유라는 기본 권을 실현하게 되는 반면, 주민들 입장에서는 환경권 · 건강권 등의 침해를 주장할 수 있다. 이러한 경우에도 행정 활동을 함에 있어 갖춰야 할 선행 조건은 엄격하게 요구된다. ","ㄱ. 주유소 운영자 갑에게 주유소와 접하는 도로의 일부에 대해 행정청으로부터 점용 허가 처분과 점용료 납부 명령이 예정된 경우, 행정청은 사전에 갑에게 점용 허가 처분 및 점용료 납부 명령 각각의 이유와 내용 및 근거를 알려야 한다.
ㄴ. 행정청이 을 법인에게 원자로시설부지의 사전승인을 할 때 환경권 · 건강권의 침해를 직접 받게 되는 인근 주민 병이 있는 경우, 행정청은 원자로시설부지의 사전승인에 앞서 병에게 그 사전승인의 이유와 내용 및 근거를 알려야 하지만, 을 법인 에게는 사전승인에 앞서 알릴 필요가 없다. 
ㄷ. 대리운전기사 정이 음주운전으로 적발되어 행정청이 정의 운전면허를 취소하려는 경우, 행정청은 사전에 정과 그 가족 에게 운전면허취소의 이유와 내용 및 근거를 알려야 한다.","①ㄱ ②ㄴ ③ㄱ, ㄷ
④ㄴ, ㄷ ⑤ㄱ, ㄴ, ㄷ","ㄴ
"
2019,논증평가,2,다음 논쟁에 대한 평가로 적절한 것만을 <보기>에서 있는 대로 고른 것은?,"A국은 마약류(마약 · 향정신성의약품 및 대마를 통칭함)로 인한 사회적 폐해를 방지하기 위하여 마약류의 제조 및 판매에 관한 '유통범죄'뿐 아니라 마약류의 단순 '사용범죄'까지도 형벌을 부과하는 정책을 시행하고 있다. 갑과 을은 이러한 자국의 마약류 정책에 대하여 다음과 같은 논쟁을 벌였다. 
갑1 : B국을 여행했는데 B국은 대마초 흡연이 합법이라 깜짝 놀랐어. 대마초의 성분은 중추신경에 영향을 주어 기분을 좋게 하고, 일단 이를 접한 사람은 끊을 수 없게 만드는 중독성이 있잖아. 이러한 폐해를 야기하는 대마초 흡연은 처벌하는 것이 맞아. 
을1: 어떤 개인이 자신에게만 피해를 주는 행위를 했다는 이유로 처벌을 받아야 한다는 것이 이해가 되지 않아. 인간은 타인 에게 피해를 주지 않는 한 자신의 생명과 신체, 건강에 대해서 스스로 결정할 자기 결정권을 가지고 있는데 그 권리 행사를 처벌하는 것은 최후의 수단이 되어야 할 형벌의 역할에 맞지 않아. 
갑2: 그건 아니지. 마약을 사용하는 것은 스스로를 해치는 행위 이기도 하지만, 마약을 사용한 상태에서는 살인, 강간 등의 다른 범죄를 저지를 가능성이 높아져. 타인에게 위해를 가할 위험성을 방지하기 위한 형벌은 필요해. 
을2: 그 위험성을 인정하더라도 그런 행위는 타인을 위해할 목적으로 일어난 것이 아니라 중독 상태에서 발생하는 것이잖아. 중독은 치료와 예방의 대상이지 처벌의 대상이 어서는 안 된다고 생각해. 갑3: 중독은 사회 전체의 건전한 근로 의식을 저해하기 때문에 공공복리를 위해서라도 형벌로 예방할 필요가 있어.","<보 기>
ㄱ. 전쟁 중 병역 기피 목적으로 자신의 신체를 손상한 사람을 병역법 위반으로 형사처벌하는 A국 정책이 타당성을 인정 받는다면 을1의 주장은 약화된다. 
ㄴ. 자해행위에 대한 형사처벌은 그 행위가 타인에게 직접 위해를 가하는 경우에만 정당화될 수 있고 위해의 가능성만으로 정당화되어서는 안 된다는 견해가 타당성을 인정받는다면 갑2의 주장은 약화된다.
ㄷ. 인터넷 중독과 관련하여 예방교육과 홍보활동을 강조하며 형벌을 가하지 않는 A국 정책이 타당성을 인정받는다면 을2의 주장은 약화된다. ","①ㄴ ②ㄷ ③ㄱ, ㄴ
④ㄱ, ㄷ ⑤ㄱ, ㄴ, ㄷ","ㄴ
"
2019,논증평가,3,<논쟁>에 대한 분석으로 옳은 것만을 <보기>에서 있는 대로 고른 것은?,"<X법>
제1조(형벌) 형벌은 경중에 따라 태형, 장형, 유배형, 교형, 참형의 5등급으로 한다. 
제2조(속죄금) 70세 이상이거나 15세 이하인 자가 유배형 이하에 해당하는 죄를 지으면 속죄금만을 징수한다. 
제3조(감경) 형벌에 대한 감경의 횟수는 제한하지 않는다. 
제4조(밀매) 외국에 금지 물품을 몰래 판매한 자는 장형에 처하고, 금지 물품이 금, 은, 기타 보석 및 무기 등인 경우에는 교형에 처한다. 
<논쟁>
신하 A: 중국 사신과 동행하던 71세 장사신이 은 10냥을 소지 하고 있다가 압록강을 건너기 직전에 적발되었습니다. 최근 중국에 은을 팔면 몇 배의 시세 차익을 얻을 수 있기 때문에 이러한 행위가 만연하고 있습니다. 몰래 소지한 것은 몰래 판매한 것과 다르지 않습니다. <가>장사신을 교형으로 처벌해야 합니다.</가>
신하 B: 은 10냥을 몰래 소지하고 강을 건너는 것은 판매를 위해 준비하는 것일 뿐입니다. 역적을 처벌하는 모반죄 (謀叛罪)는 모반을 준비하는 자에 대해서 형벌을 감경 하여 처벌하는 규정을 두고 있기 때문에 모반의 준비 행위를 처벌할 수 있지만, 밀매죄는 이러한 규정을 두고 있지 않습니다. 법이 이와 같다면 장사신을 교형에 처할 수는 없습니다. 다만 사안에 대한 규정이 없더라도, <나>사안에 들어맞는 유사한 사례를 다룬 판결</나>이 있다면 그 판결을 유추해서 적용해야 할 것입니다. 
신하 C: 이전 판결을 유추해서 적용하는 것은 유사한지 여부를 판단해야 하는 문제가 발생하니, 차라리 '금지 물품을 몰래 소지하고 외국으로 가다가 국경을 넘기 전에 적발된 자는 밀매죄의 형에서 1단계 감경한다'는 규정을 신설 하여 처벌하는 것이 옳습니다. 
국 왕: 신하 C가 말한 대로 규정을 추가로 신설하여 이를 장사신 에게 적용하라.","<보 기>
ㄱ. '범죄를 준비한 자를 처벌하기 위해서는 법에 정한 바가 있어야 한다'는 논거에 의하면, <가>는 약화된다. 
ㄴ. 모반을 도운 자를 모반을 행한 자와 같이 모반죄로 처벌한 판결은 <나>에 해당된다. 
ㄷ. 국왕의 명령에 의하면, 장사신은 유배형에 처해진다.","①ㄱ ②ㄴ ③ㄱ, ㄷ
④ㄴ, ㄷ ⑤ㄱ, ㄴ, ㄷ","ㄱ
"
2019,법규범,4,다음 글에 대한 분석으로 옳은 것만을 <보기>에서 있는 대로 고른 것은?,"A는 B가 뒤따라오고 있다는 것을 알면서도 출입문을 세게 닫아 B의 손가락이 절단되는 사건이 발생하였다. A가 B의 손가락을 절단하려 했는지가 밝혀지지 않은 상황에서, 갑, 을, 병은 A를 상해죄로 처벌할 수 있는지에 대해서 대화를 나누고 있다. 
갑: B의 손가락이 절단된 결과에 대해서 A를 처벌할 수는 없어. A는 자신의 행위로 인해 B의 손가락이 잘리는 것까지 의도한 것은 아니니까. A가 자신의 행위로 인해 B의 손가락이 잘리는 것까지 의도했을 때만 처벌해야지. 
을: A에게 B의 손가락을 절단하려는 의도는 없었어. 하지만 A는 어쨌든 자신의 행위가 B의 손가락을 절단할 수도 있다는 것을 몰랐을 리 없어. A는 B의 손가락이 절단된 결과에 대해서 처벌을 받아야 해. 
병 : A가 자신의 행동으로 인해 B의 손가락이 절단될 수도 있다 는 것을 알고 있었다고 인정하지는 못하겠어. 그래도 A는 B의 손가락이 절단된 결과에 대해서 처벌을 받아야 해. 어쨌든 A는 B의 신체에 조금이라도 해를 입힐 의도는 있었으니까.","<보 기>
ㄱ. 갑과 을은 A의 처벌 여부에 대해서는 다른 의견이나, A의 의도에 대해서는 같은 의견이다. 
ㄴ. 을과 병은 A의 처벌 여부에 대해서는 같은 의견이나, A의 인식에 대해서는 다른 의견이다. 
ㄷ. 갑의 견해에서 상해죄의 처벌 대상이 되는 행위는 병의 견해에서도 모두 처벌의 대상이 된다. 
ㄹ. 을의 견해에서 상해죄의 처벌 대상이 되는 행위는 병의 견해에서도 모두 처벌의 대상이 된다.","①ㄱ, ㄴ ②ㄱ, ㄹ ③ㄷ, ㄹ 
④ㄱ, ㄴ, ㄷ ⑤ㄴ, ㄷ, ㄹ","ㄱ, ㄴ, ㄷ
"
2019,논쟁/반론,5,다음 글에 대한 분석으로 옳은 것만을 <보기>에서 있는 대로 고른 것은?,"F국의 박물관에서 보석으로 장식된 여신상을 도난당하였다. 조사 결과 G국의 절도단이 이 여신상을 훔쳐 본국으로 밀반출한 것으로 밝혀졌다. G국 경찰은 절도단을 체포하고 해당 여신상을 압수하였다. G국 정부는 F국 정부의 요청에 따라 여신상을 F국에 반환하려고 하였다. 그런데 G국의 A시가 여신상에 대한 소유권을 주장하며 F국으로 반환하지 말 것을 요청하였다. A시가 제출한 기록에 의하면 해당 여신상은 원래 약 2000년 전에 시민들이 모금하여 제작한 것으로, A시 중앙에 위치한 신전 내에 봉헌 되었다. 여신상이 신전에서 언제, 어떻게 없어졌는지 그 경위는 불확실하다. A시는 과거 긴 전쟁, 전후 혼란기 등의 시기에 F국 군인들이 G국의 문화재를 약탈한 사례가 많이 있었기 때문에, 해당 여신상도 같은 경위로 F국으로 반출되었을 것이라고 주장 하였다. 이에 관하여 아래와 같은 두 가지 의견이 있다. 
갑: A시가 여신상을 소유하고 있었다는 확실한 기록이 있어. 그리고 역사적으로 F국은 G국의 문화재를 탈취해 왔지. 여신상의 적법한 반출 경위를 확인할 수 없다면, 마찬가지로 약탈당한 것으로 봐야 하지 않을까. 비록 해당 여신상이 불법적인 방법에 의해 G국에 반입되었지만, 원래의 정당한 소유자라는 증거가 있는 A시에 돌려주는 것이 옳은 것 같아. 
을: 기록을 보면 A시의 신전에 여신상이 안치되어 있던 것은 사실인 것 같아. 하지만 그 사실이 인정된다고 하더라도 해당 여신상의 약탈 여부는 알 수 없잖아. A시가 친선의 목적으로 여신상을 F국 유력자에게 선물하였거나, 매도했을 수도 있지. 그런 합법적 경로를 통하여 F국으로 반출되었을 가능성도 분명히 있기 때문에, 불법적인 방법으로 여신상을 G국으로 가져오는 것은 문제가 있어. 여신상은 F국에 돌려 주는 것이 맞아.","<보 기>
ㄱ. '여신상이 G국에서 F국으로 불법적으로 반출되었을 가능성이 매우 높더라도 G국은 밀반입된 여신상을 F국에 돌려주어야 한다'는 견해에 갑은 동의하지 않지만, 을은 동의한다.
ㄴ. 'A시가 여신상을 반환받기 위하여, 해당 여신상이 F국으로 불법적으로 반출되었다는 것이 먼저 증명되어야 한다'는 견해에 갑은 동의하지 않지만, 을은 동의한다. 
ㄷ. '여신상을 A시로 반환할지의 여부를 결정하기 위한 전제로서 A시의 신전이 그 여신상을 소유하였다는 사실이 인정되어야 한다'는 견해에는 갑, 을 모두 동의한다.","①ㄱ ②ㄴ ③ㄱ, ㄷ
④ㄴ, ㄷ ⑤ㄱ, ㄴ, ㄷ","ㄱ, ㄴ, ㄷ
"
2019,법규범,6,<사실관계>에서 국제법원의 판정 이후 A국이 <규정>에 합치하도록 취할 수 있는 조치로 옳은 것만을 <보기>에서 있는 대로 고른 것은?,"<사실관계>
참치는 천적인 상어를 막아 주는 돌고래 주변에서 주로 이동 한다. 참치가 많이 잡히는 열대성 동태평양 수역에서 작업을 하는 여러 국가의 어부들은 초대형 선예망으로 어업을 한다. 이때 참치뿐 아니라 주변의 돌고래까지 함께 어획 되어 매년 만 마리 이상의 돌고래가 죽는 문제가 발생하였다. 지속적으로 돌고래 보호 운동을 펼쳐 온 A국의 한 환경 단체는 정부를 압박하여, 논의 끝에 A국 내에서 유통되는 참치 제품 중 초대형 선예망으로 잡지 않은 제품에 '돌고래 세이프 라벨'을 부착하는 규정이 상표법에 추가되었다. B국 어민들은 주로 열대성 동태평양 수역에서 어업을 하여 A국에 수출하고 있었고, A국의 상표법 개정으로 인하여 B국 어민 제품의 수출량은 급격히 감소 하였다. B국 정부는 초대형 선예망을 사용하지 않는 어선도 돌고래를 위협하고 있다고 주장하며, A국에서 '돌고래 세이프 라벨'을 초대형 선예망으로 작업하는 자국 어선의 제품에 부착하지 못하도록 하는 것은 차별이라는 이유로 A국을 국제법원에 제소 하였다. 이에 대하여 국제법원은 다음과 같이 판정하였다. 
'A국이 B국의 제품에 행하고 있는 라벨 규제는 차별적인 조치에 해당하므로 아래의 <규정>에 합치하지 않는다.'
<규정>
국가는 다른 국가로부터 수입되는 물품이 국내에서 생산된 동종 물품 또는 그 외의 다른 국가에서 생산된 동종 물품보다 불리한 취급을 받지 아니할 것을 보장하여야 한다.","<보 기>
ㄱ. A국은 상표법에 있는 '돌고래 세이프 라벨' 조항을 철폐하였다. 
ㄴ. A국은 열대성 동태평양 수역 내 B국 어선의 제품에 대해서만 라벨 규정을 완화하였다. 
ㄷ. A국은 모든 어업 방식에 적용될 수 있도록 상표법의 라벨 규정을 강화하였다.","①ㄱ ②ㄴ ③ㄱ, ㄷ
④ㄴ, ㄷ ⑤ㄱ, ㄴ, ㄷ","ㄱ, ㄷ
"
2019,법규범,7,원님 갑이 재판에서 채택할 진술을 <사례>에서 있는 대로 고른 것은?,"원님 갑은 고을에서 일어나는 범죄에 대한 모든 재판을 담당 하였다. 재판에서 증거로 받아들이기 어려운 진술들이 많이 제출 되어 재판이 지연되자, 갑은 일정한 요건을 갖춘 증거들만 제출 할 수 있도록 제한하였다. 그리하여 갑은 용의자의 평소 행실에 관한 진술은 재판에서 채택하지 않기로 하였다. 
그러나 갑은 증인의 평소 언행의 진실성에 대한 진술은 들을 필요가 있다고 생각하였고, 이러한 진술의 채택 요건을 아래와 같이 제한하여 예외적으로 받아들였다. 
첫째, 증인의 평소 언행의 진실성에 대해서 진술하는 것은 평소 고을에서의 평판에만 한정하고, 과거에 특정한 행위를 한 적이 있다는 진술은 채택하지 않는다. 
둘째, 증인이 예전에 재판에서 허위 진술을 하여 처벌을 받은 적이 있다는 것은 중요하기 때문에 이에 대한 진술은 채택하기로 한다. 
셋째, 증인의 평소 언행의 진실성을 모든 사건에서 다 확인할 필요는 없기 때문에 '증인이 진실하다'는 진술은 다른 사람이 '증인이 진실하지 못하다'고 진술하거나 '증인이 예전에 재판에서 허위 진술을 하여 처벌을 받은 적이 있다'고 진술을 한 때에 비로소 채택한다. 
<사례>
현재 갑이 담당하고 있는 재판에서 갑돌이는 <혐의 1> 갑순이 집 앞에서 담배를 피우다 버려 갑순이 집의 외양간을 태웠고, <혐의 2> 그 사실이 소문나면 주인마님에게 혼날까 봐 무서워 불이 나던 날 밤 '을돌이가 갑순이 집 앞에서 담배를 피우는 것을 보았다'는 거짓 소문을 냈다는 두 가지 혐의를 받고 있다. 
<혐의 1>과 관련하여 갑이 갑돌이에게 그날의 행적에 대하여 묻자, 갑돌이는 <가>'저는 주변에서 매우 조심성 있는 사람이라는 평을 듣습니다.'</가>라고 진술하였다. 다음으로 <혐의 2>와 관련하여 갑돌이의 친구 마당쇠가 증인으로 나와 '갑돌이는 거짓말을 안 하는 진실한 놈이라는 평판이 자자합니다.'라고 진술하였다. 그러자 대장장이가 증인으로 나와 <나>'예전에 마당쇠가 을순이에게 거짓말을 해서 을순이 아버지에게 크게 혼난 일이 있었지요.'</나>라고 진술하였다. 갑이 을돌이를 증인으로 불러 그날의 행적에 대하여 진술하게 하자 을돌이는 '그날 저는 집에 있었습니다.'라고 진술 하였다. 이에 다음 증인 병돌이는 <다>'예전에 을돌이가 아랫동네 살인 사건 재판에서 거짓말을 하여 곤장 다섯 대를 맞은 적이 있습 니다.'</다>라고 진술하였다. 이에 다른 증인 방물장수는 <라>'을돌이가 매우 진실하다는 소문이 윗마을까지 나 있습니다.'</라>라고 진술하였다.",,"① ㉠, ㉡ ② ㉠, ㉣ ③ ㉢, ㉣
④ ㉠, ㉡, ㉢ ⑤ ㉡, ㉢, ㉣","3
"
